;pib;pibpc;pob
  ESPANYA;1.594.330.000;32.633;48.856,60
    ANDALUCIA;212.573.759;24.566;8.653,10
    ARAGON;49.292.871;36.446;1.352,50
    ASTURIAS ;30.010.316;29.658;1.011,90
    BALEARES;44.591.139;36.011;1.238,30
    CANARIAS;58.289.432;25.925;2.248,40
    CANTABRIA;17.639.726;29.791;592,1
    CASTILLA Y LEON;74.621.197;31.149;2.395,60
    CASTILLA-LA MANCHA;56.187.856;26.588;2.113,30
    CATALUNYA;301.894.399;37.426;8.066,40
    COMUNIDAD VALENCIANA;148.200.412;27.611;5.367,50
    EXTREMADURA;26.586.634;25.227;1.053,90
    GALICIA;81.606.895;30.105;2.710,70
    MADRID ;316.241.906;44.755;7.066,00
    MURCIA ;41.901.936;26.572;1.576,90
    NAVARRA;26.605.806;39.076;680,9
    PAIS VASCO;91.625.715;41.016;2.233,90
    RIOJA ;11.225.817;34.475;325,6
    CEUTA ;1.936.392;23.228;83,4
    MELILLA ;1.826.316;21.128;86,4
    EXTRARREGIO;1.471.476;;
